bet_id,recommended_at,date,gamePk,matchup,first_pitch,market,side,line,book,price,fair_prob,fair_american,edge_pred,confidence,units_risked,status,units_pl,final_runs_h,final_runs_a,f5_runs,first_inn_runs,settled_at,player_id,player_name,actual_result,closing_price,closing_fair_prob,clv_pct,beat_close,notes
114,2026-05-20T18:11:29.661990Z,2026-05-20,823462,Cincinnati Reds @ Philadelphia Phillies,2026-05-20T17:05:00Z,total,over,10.5,betmgm,100,0.5225,-109,0.0449,6,0.5,won,0.5000,4,9,5,1,2026-05-21T17:20:40.229980Z,,,,,,,,
115,2026-05-22T17:02:01.560004Z,2026-05-22,823546,Tampa Bay Rays @ New York Yankees,2026-05-22T23:05:00Z,moneyline,away,,fanduel,130,0.4578,118,0.0529,8,1.0,won,1.3000,2,4,1,0,2026-05-23T15:47:08.687348Z,,,,,,,,
116,2026-05-22T17:02:01.560004Z,2026-05-22,824029,Texas Rangers @ Los Angeles Angels,2026-05-23T01:38:00Z,moneyline,away,,fanduel,-162,0.6506,-186,0.0522,9,1.0,lost,-1.0000,9,6,9,4,2026-05-23T15:47:08.687348Z,,,,,,,,
117,2026-05-22T17:32:17.328609Z,2026-05-22,823788,Los Angeles Dodgers @ Milwaukee Brewers,2026-05-22T23:40:00Z,moneyline,home,,fanduel,-104,0.5315,-113,0.0426,7,0.5,won,0.4808,5,1,5,4,2026-05-23T15:47:08.687348Z,,,,,,,,
118,2026-05-23T16:45:47.034744Z,2026-05-23,824030,Texas Rangers @ Los Angeles Angels,2026-05-24T02:05:00Z,moneyline,away,,fanduel,-136,0.6046,-153,0.0492,8,1.0,lost,-1.0000,5,2,4,2,2026-05-24T15:47:41.623090Z,,,,,,,,
119,2026-05-24T15:52:28.829119Z,2026-05-24,823861,New York Mets @ Miami Marlins,2026-05-24T17:40:00Z,moneyline,away,,fanduel,106,0.5052,-102,0.0407,6,0.5,lost,-0.5000,4,0,0,0,2026-05-25T16:53:27.650465Z,,,,,,,,
120,2026-05-24T16:44:06.240177Z,2026-05-24,823544,Tampa Bay Rays @ New York Yankees,2026-05-24T17:35:00Z,total,under,7.0,draftkings,-106,0.5327,-114,0.0352,6,0.5,won,0.4717,2,0,0,0,2026-05-25T16:53:27.650465Z,,,,,,,,
121,2026-05-24T16:44:06.240177Z,2026-05-24,824839,Detroit Tigers @ Baltimore Orioles,2026-05-24T16:35:00Z,moneyline,away,,fanduel,130,0.4856,106,0.1169,9,1.5,lost,-1.5000,5,3,2,0,2026-05-25T16:53:27.650465Z,,,,,,,,
122,2026-05-25T16:56:02.104045Z,2026-05-25,822899,Houston Astros @ Texas Rangers,2026-05-25T23:05:00Z,moneyline,away,,fanduel,108,0.5019,-101,0.0440,7,0.5,won,0.5400,0,9,4,1,2026-05-26T04:21:31.634773Z,,,,,,,,
123,2026-05-25T16:56:02.104045Z,2026-05-25,824838,Tampa Bay Rays @ Baltimore Orioles,2026-05-25T17:35:00Z,moneyline,away,,fanduel,-110,0.5523,-123,0.0544,9,1.0,lost,-1.0000,9,7,0,0,2026-05-26T04:21:31.634773Z,,,,,,,,
124,2026-05-26T04:25:03.664509Z,2026-05-26,822811,Miami Marlins @ Toronto Blue Jays,2026-05-26T23:07:00Z,moneyline,away,,fanduel,116,0.4850,106,0.0476,6,0.5,lost,-0.5000,8,1,3,0,2026-05-27T17:21:45.853261Z,,,,,,,,
125,2026-05-26T04:25:03.664509Z,2026-05-26,823624,Cincinnati Reds @ New York Mets,2026-05-26T23:10:00Z,moneyline,home,,fanduel,-102,0.5375,-116,0.0645,6,0.5,lost,-0.5000,2,7,5,2,2026-05-27T17:21:45.853261Z,,,,,,,,
126,2026-05-26T04:25:03.664509Z,2026-05-26,824434,Washington Nationals @ Cleveland Guardians,2026-05-26T22:10:00Z,moneyline,away,,fanduel,118,0.4942,102,0.0774,9,1.5,won,1.7700,3,6,5,0,2026-05-27T17:21:45.853261Z,,,,,,,,
127,2026-05-26T17:50:32.702534Z,2026-05-26,824434,Washington Nationals @ Cleveland Guardians,2026-05-26T22:10:00Z,moneyline,away,,betmgm,118,0.4879,105,0.0636,8,1.5,won,1.7700,3,6,5,0,2026-05-27T17:21:45.853261Z,,,,,,,,
128,2026-05-27T17:24:35.600966Z,2026-05-27,823626,Cincinnati Reds @ New York Mets,2026-05-27T23:10:00Z,moneyline,home,,betmgm,-118,0.5605,-128,0.0355,7,0.5,won,0.4237,4,2,4,1,2026-05-28T17:51:53.375777Z,,,,,,,,
129,2026-05-27T17:24:35.600966Z,2026-05-27,824432,Washington Nationals @ Cleveland Guardians,2026-05-27T17:10:00Z,moneyline,away,,betmgm,185,0.3687,171,0.0508,6,0.5,lost,-0.5000,3,2,4,0,2026-05-28T17:51:53.375777Z,,,,,,,,
130,2026-05-28T17:53:39.390715Z,2026-05-28,823378,Chicago Cubs @ Pittsburgh Pirates,2026-05-28T22:40:00Z,moneyline,away,,fanduel,146,0.4197,138,0.0325,6,0.5,won,0.7300,2,7,1,0,2026-05-29T15:49:06.098962Z,,,,,,,,
